Moana serial number, 874
Download time, 10/06/2025 09:00:02
Deck unit serial number, 5361
Moana calibration date, 17/08/2023
Moana Battery, 3.56 (V)
Date quality controlled, 2025-06-10T12:03:14 +0000
Vessel Name, Green Mountain 
Vessel ID, NA
Cellular upload position, NA
Deck unit battery voltage, 4.16
QC_FLAG Key, 1=good 2=probably good 3=probably bad 4=bad
,DATETIME [UTC],LATITUDE,LONGITUDE,TEMPERATURE [degC],DEPTH [m],QC_FLAG
164,2025-06-10T01:21:29,29.113936,197.529005,16.04,202.4,2
165,2025-06-10T01:22:05,29.113936,197.529005,15.93,206.5,2
166,2025-06-10T01:22:44,29.113936,197.529005,15.76,210.5,2
167,2025-06-10T01:23:54,29.113936,197.529005,15.64,214.6,2
168,2025-06-10T01:24:40,29.113936,197.529005,15.32,218.9,2
169,2025-06-10T01:25:31,29.113936,197.529005,15.11,222.9,2
170,2025-06-10T01:26:38,29.113936,197.529005,14.97,226.9,2
171,2025-06-10T01:31:38,29.113936,197.529005,15.02,224.6,2
172,2025-06-10T01:36:33,29.113936,197.529005,14.97,228.6,2
173,2025-06-10T01:38:45,29.113936,197.529005,14.88,232.6,2
174,2025-06-10T01:40:51,29.113936,197.529005,14.67,236.7,2
175,2025-06-10T01:42:32,29.113936,197.529005,14.6,240.6,2
176,2025-06-10T01:44:12,29.113936,197.529005,14.51,244.8,2
177,2025-06-10T01:45:43,29.113936,197.529005,14.38,248.8,2
178,2025-06-10T01:47:31,29.113936,197.529005,14.32,253.2,2
179,2025-06-10T01:49:29,29.113936,197.529005,14.25,257.4,2
180,2025-06-10T01:51:06,29.113936,197.529005,14.2,261.7,2
181,2025-06-10T01:53:04,29.113936,197.529005,14.13,265.7,2
182,2025-06-10T01:54:52,29.113936,197.529005,13.96,269.8,2
183,2025-06-10T01:56:58,29.113936,197.529005,13.88,273.9,2
184,2025-06-10T01:58:49,29.113936,197.529005,13.84,277.8,2
185,2025-06-10T02:00:42,29.113936,197.529005,13.76,281.8,2
186,2025-06-10T02:02:37,29.113936,197.529005,13.69,286.1,2
187,2025-06-10T02:05:18,29.113936,197.529005,13.66,290.1,2
188,2025-06-10T02:08:49,29.113936,197.529005,13.61,294.2,2
189,2025-06-10T02:13:49,29.113936,197.529005,13.59,295.7,2
190,2025-06-10T02:18:49,29.113936,197.529005,13.59,295.4,2
191,2025-06-10T02:23:49,29.113936,197.529005,13.57,297.9,2
192,2025-06-10T02:28:49,29.113936,197.529005,13.56,300.7,2
193,2025-06-10T02:33:49,29.113936,197.529005,13.56,300.9,2
194,2025-06-10T02:38:49,29.113936,197.529005,13.58,299.2,2
195,2025-06-10T02:43:49,29.113936,197.529005,13.58,297.4,2
196,2025-06-10T02:48:49,29.113936,197.529005,13.59,296.2,2
197,2025-06-10T02:53:49,29.113936,197.529005,13.59,296.2,2
198,2025-06-10T02:58:49,29.113936,197.529005,13.6,297.1,2
199,2025-06-10T03:03:49,29.113936,197.529005,13.6,296.2,2
200,2025-06-10T03:08:49,29.113936,197.529005,13.59,295.0,2
201,2025-06-10T03:13:49,29.113936,197.529005,13.58,295.3,2
202,2025-06-10T03:18:49,29.113936,197.529005,13.59,294.5,2
203,2025-06-10T03:23:49,29.113936,197.529005,13.61,293.3,2
204,2025-06-10T03:28:49,29.113936,197.529005,13.61,291.3,2
205,2025-06-10T03:33:49,29.113936,197.529005,13.66,290.4,2
206,2025-06-10T03:38:49,29.113936,197.529005,13.73,288.9,2
207,2025-06-10T03:43:49,29.113936,197.529005,13.78,287.3,2
208,2025-06-10T03:48:49,29.113936,197.529005,13.83,285.8,2
209,2025-06-10T03:53:49,29.113936,197.529005,13.84,286.0,2
210,2025-06-10T03:58:49,29.113936,197.529005,13.85,285.0,2
211,2025-06-10T04:03:49,29.113936,197.529005,13.85,283.2,2
212,2025-06-10T04:08:49,29.113936,197.529005,13.86,283.8,2
213,2025-06-10T04:13:49,29.113936,197.529005,13.86,284.0,2
214,2025-06-10T04:18:49,29.113936,197.529005,13.87,284.7,2
215,2025-06-10T04:23:49,29.113936,197.529005,13.9,284.5,2
216,2025-06-10T04:28:49,29.113936,197.529005,13.89,284.3,2
217,2025-06-10T04:33:49,29.113936,197.529005,13.89,281.0,2
218,2025-06-10T04:38:49,29.113936,197.529005,13.9,279.0,2
219,2025-06-10T04:43:49,29.113936,197.529005,13.92,278.9,2
220,2025-06-10T04:48:49,29.113936,197.529005,13.97,276.3,2
221,2025-06-10T04:53:15,29.113936,197.529005,13.99,272.4,2
222,2025-06-10T04:58:15,29.113936,197.529005,14.05,271.2,2
223,2025-06-10T05:03:15,29.113936,197.529005,14.08,269.3,2
224,2025-06-10T05:08:15,29.113936,197.529005,14.05,269.5,2
225,2025-06-10T05:13:15,29.113936,197.529005,14.12,269.4,2
226,2025-06-10T05:18:15,29.113936,197.529005,14.08,268.9,2
227,2025-06-10T05:23:15,29.113936,197.529005,13.99,271.7,2
228,2025-06-10T05:26:53,29.113936,197.529005,13.97,275.6,2
229,2025-06-10T05:31:53,29.113936,197.529005,13.97,275.7,2
230,2025-06-10T05:36:53,29.113936,197.529005,13.96,274.1,2
231,2025-06-10T05:41:53,29.113936,197.529005,13.96,274.5,2
232,2025-06-10T05:46:53,29.113936,197.529005,13.98,274.5,2
233,2025-06-10T05:51:53,29.113936,197.529005,13.98,272.8,2
234,2025-06-10T05:56:53,29.113936,197.529005,13.96,271.3,2
235,2025-06-10T06:01:53,29.113936,197.529005,13.95,271.8,2
236,2025-06-10T06:06:53,29.113936,197.529005,13.96,271.8,2
237,2025-06-10T06:11:53,29.113936,197.529005,13.97,270.9,2
238,2025-06-10T06:16:53,29.113936,197.529005,13.96,272.2,2
239,2025-06-10T06:21:53,29.113936,197.529005,14.01,271.4,2
240,2025-06-10T06:26:53,29.113936,197.529005,14.02,272.3,2
241,2025-06-10T06:31:53,29.113936,197.529005,14.11,270.7,2
242,2025-06-10T06:36:53,29.113936,197.529005,14.1,269.3,2
243,2025-06-10T06:41:53,29.113936,197.529005,14.04,270.0,2
244,2025-06-10T06:46:53,29.113936,197.529005,14.0,270.8,2
245,2025-06-10T06:51:07,29.113936,197.529005,13.92,274.8,2
246,2025-06-10T06:56:07,29.113936,197.529005,13.97,272.8,2
247,2025-06-10T07:01:07,29.113936,197.529005,13.97,271.8,2
248,2025-06-10T07:06:07,29.113936,197.529005,13.98,270.0,2
249,2025-06-10T07:11:07,29.113936,197.529005,14.06,268.1,2
250,2025-06-10T07:16:07,29.113936,197.529005,14.1,267.2,2
251,2025-06-10T07:21:07,29.113936,197.529005,14.1,265.4,2
252,2025-06-10T07:26:07,29.113936,197.529005,14.11,263.2,2
253,2025-06-10T07:31:07,29.113936,197.529005,14.06,264.0,2
254,2025-06-10T07:36:07,29.113936,197.529005,14.06,264.5,2
255,2025-06-10T07:41:07,29.113936,197.529005,14.05,264.4,2
256,2025-06-10T07:46:07,29.113936,197.529005,14.02,266.8,2
257,2025-06-10T07:51:07,29.113936,197.529005,14.02,268.5,2
258,2025-06-10T07:56:07,29.113936,197.529005,14.0,269.5,2
259,2025-06-10T08:01:07,29.113936,197.529005,13.93,269.6,2
260,2025-06-10T08:06:07,29.113936,197.529005,13.92,269.6,2
261,2025-06-10T08:11:07,29.113936,197.529005,13.92,269.9,2
262,2025-06-10T08:16:07,29.113936,197.529005,13.92,267.8,2
263,2025-06-10T08:21:07,29.113936,197.529005,13.92,267.2,2
264,2025-06-10T08:26:07,29.113936,197.529005,13.92,268.7,2
265,2025-06-10T08:31:07,29.113936,197.529005,14.04,268.3,2
266,2025-06-10T08:36:07,29.113936,197.529005,14.04,267.3,2
267,2025-06-10T08:41:07,29.113936,197.529005,14.01,269.0,2
268,2025-06-10T08:46:07,29.113936,197.529005,14.05,269.6,2
269,2025-06-10T08:47:48,29.113936,197.529005,14.12,265.4,2
